Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
493.65	73.500	209.93	0.0047636	15.592	21.209	68.204	39.525	53.979	904.03	-0.19525	2.9525e-05	0.10760	supercritical
495.15	73.500	209.38	0.0047761	15.659	21.290	68.368	39.607	54.032	903.69	-0.19509	2.9500e-05	0.10772	supercritical
496.65	73.500	208.83	0.0047885	15.725	21.371	68.531	39.688	54.086	903.35	-0.19493	2.9476e-05	0.10784	supercritical
498.15	73.500	208.29	0.0048010	15.791	21.453	68.694	39.769	54.139	903.02	-0.19477	2.9453e-05	0.10797	supercritical
499.65	73.500	207.75	0.0048135	15.858	21.534	68.857	39.851	54.193	902.70	-0.19463	2.9429e-05	0.10809	supercritical
501.15	73.500	207.21	0.0048260	15.925	21.615	69.020	39.932	54.247	902.39	-0.19449	2.9407e-05	0.10822	supercritical
502.65	73.500	206.68	0.0048385	15.991	21.696	69.182	40.014	54.301	902.09	-0.19436	2.9385e-05	0.10835	supercritical
504.15	73.500	206.15	0.0048509	16.058	21.778	69.344	40.095	54.356	901.79	-0.19424	2.9363e-05	0.10848	supercritical
505.65	73.500	205.62	0.0048634	16.125	21.860	69.505	40.177	54.410	901.51	-0.19413	2.9342e-05	0.10862	supercritical
507.15	73.500	205.09	0.0048759	16.192	21.941	69.667	40.259	54.465	901.23	-0.19402	2.9321e-05	0.10875	supercritical
508.65	73.500	204.57	0.0048884	16.259	22.023	69.828	40.340	54.520	900.96	-0.19392	2.9301e-05	0.10889	supercritical
510.15	73.500	204.05	0.0049008	16.326	22.105	69.988	40.422	54.575	900.70	-0.19383	2.9281e-05	0.10903	supercritical
511.65	73.500	203.53	0.0049133	16.393	22.187	70.148	40.504	54.631	900.45	-0.19374	2.9261e-05	0.10917	supercritical
513.15	73.500	203.01	0.0049258	16.460	22.269	70.308	40.586	54.686	900.20	-0.19367	2.9242e-05	0.10931	supercritical
514.65	73.500	202.50	0.0049382	16.528	22.351	70.468	40.668	54.742	899.97	-0.19359	2.9224e-05	0.10945	supercritical
516.15	73.500	201.99	0.0049507	16.595	22.433	70.628	40.750	54.798	899.74	-0.19353	2.9206e-05	0.10960	supercritical
517.65	73.500	201.48	0.0049632	16.663	22.515	70.787	40.832	54.854	899.52	-0.19347	2.9188e-05	0.10974	supercritical
519.15	73.500	200.98	0.0049756	16.730	22.597	70.946	40.914	54.910	899.30	-0.19341	2.9170e-05	0.10989	supercritical
520.65	73.500	200.48	0.0049881	16.798	22.680	71.104	40.996	54.967	899.10	-0.19337	2.9153e-05	0.11004	supercritical
522.15	73.500	199.98	0.0050006	16.866	22.762	71.262	41.079	55.023	898.90	-0.19332	2.9137e-05	0.11019	supercritical
523.65	73.500	199.48	0.0050130	16.934	22.845	71.420	41.161	55.080	898.70	-0.19329	2.9121e-05	0.11034	supercritical
525.15	73.500	198.99	0.0050255	17.002	22.928	71.578	41.243	55.137	898.52	-0.19326	2.9105e-05	0.11050	supercritical
526.65	73.500	198.49	0.0050379	17.070	23.010	71.735	41.325	55.194	898.34	-0.19324	2.9089e-05	0.11065	supercritical
528.15	73.500	198.00	0.0050504	17.138	23.093	71.892	41.408	55.252	898.17	-0.19322	2.9074e-05	0.11081	supercritical
529.65	73.500	197.52	0.0050628	17.206	23.176	72.049	41.490	55.309	898.01	-0.19320	2.9060e-05	0.11097	supercritical
531.15	73.500	197.03	0.0050753	17.275	23.259	72.205	41.573	55.367	897.85	-0.19320	2.9045e-05	0.11113	supercritical
532.65	73.500	196.55	0.0050877	17.343	23.342	72.362	41.655	55.425	897.70	-0.19319	2.9031e-05	0.11129	supercritical
534.15	73.500	196.07	0.0051002	17.412	23.425	72.518	41.738	55.483	897.55	-0.19320	2.9018e-05	0.11145	supercritical
535.65	73.500	195.59	0.0051126	17.480	23.509	72.673	41.820	55.541	897.42	-0.19320	2.9004e-05	0.11161	supercritical
537.15	73.500	195.12	0.0051251	17.549	23.592	72.829	41.903	55.599	897.28	-0.19322	2.8991e-05	0.11178	supercritical
538.65	73.500	194.65	0.0051375	17.618	23.675	72.984	41.985	55.657	897.16	-0.19323	2.8979e-05	0.11194	supercritical
540.15	73.500	194.18	0.0051499	17.686	23.759	73.139	42.068	55.716	897.04	-0.19326	2.8967e-05	0.11211	supercritical
541.65	73.500	193.71	0.0051624	17.755	23.843	73.293	42.150	55.775	896.93	-0.19328	2.8955e-05	0.11228	supercritical
543.15	73.500	193.24	0.0051748	17.824	23.926	73.448	42.233	55.833	896.82	-0.19331	2.8943e-05	0.11245	supercritical
544.65	73.500	192.78	0.0051873	17.894	24.010	73.602	42.315	55.892	896.72	-0.19335	2.8932e-05	0.11262	supercritical
546.15	73.500	192.32	0.0051997	17.963	24.094	73.755	42.398	55.952	896.63	-0.19339	2.8921e-05	0.11279	supercritical
547.65	73.500	191.86	0.0052121	18.032	24.178	73.909	42.481	56.011	896.54	-0.19344	2.8910e-05	0.11297	supercritical
549.15	73.500	191.40	0.0052245	18.102	24.262	74.062	42.563	56.070	896.46	-0.19348	2.8900e-05	0.11314	supercritical
550.65	73.500	190.95	0.0052370	18.171	24.346	74.215	42.646	56.130	896.38	-0.19354	2.8890e-05	0.11332	supercritical
552.15	73.500	190.50	0.0052494	18.241	24.430	74.368	42.729	56.189	896.31	-0.19359	2.8881e-05	0.11350	supercritical
553.65	73.500	190.05	0.0052618	18.310	24.515	74.521	42.811	56.249	896.25	-0.19365	2.8871e-05	0.11368	supercritical
555.15	73.500	189.60	0.0052742	18.380	24.599	74.673	42.894	56.309	896.19	-0.19372	2.8862e-05	0.11386	supercritical
556.65	73.500	189.16	0.0052866	18.450	24.684	74.825	42.977	56.369	896.13	-0.19379	2.8853e-05	0.11404	supercritical
558.15	73.500	188.71	0.0052990	18.520	24.768	74.977	43.059	56.430	896.08	-0.19386	2.8845e-05	0.11422	supercritical
559.65	73.500	188.27	0.0053114	18.590	24.853	75.128	43.142	56.490	896.04	-0.19393	2.8837e-05	0.11441	supercritical
561.15	73.500	187.83	0.0053238	18.660	24.938	75.279	43.225	56.550	896.00	-0.19401	2.8829e-05	0.11459	supercritical
562.65	73.500	187.40	0.0053362	18.730	25.023	75.431	43.307	56.611	895.97	-0.19410	2.8821e-05	0.11478	supercritical
564.15	73.500	186.96	0.0053486	18.801	25.108	75.581	43.390	56.672	895.94	-0.19418	2.8814e-05	0.11496	supercritical
565.65	73.500	186.53	0.0053610	18.871	25.193	75.732	43.473	56.732	895.92	-0.19427	2.8807e-05	0.11515	supercritical
567.15	73.500	186.10	0.0053734	18.942	25.278	75.882	43.555	56.793	895.90	-0.19436	2.8800e-05	0.11534	supercritical
568.65	73.500	185.67	0.0053858	19.012	25.363	76.032	43.638	56.854	895.89	-0.19446	2.8794e-05	0.11553	supercritical
570.15	73.500	185.25	0.0053982	19.083	25.448	76.182	43.720	56.916	895.88	-0.19456	2.8788e-05	0.11573	supercritical
571.65	73.500	184.82	0.0054106	19.154	25.534	76.332	43.803	56.977	895.88	-0.19466	2.8782e-05	0.11592	supercritical
573.15	73.500	184.40	0.0054230	19.225	25.619	76.481	43.886	57.038	895.88	-0.19476	2.8776e-05	0.11611	supercritical
574.65	73.500	183.98	0.0054354	19.296	25.705	76.630	43.968	57.100	895.89	-0.19487	2.8771e-05	0.11631	supercritical
576.15	73.500	183.56	0.0054477	19.367	25.791	76.779	44.051	57.161	895.90	-0.19498	2.8765e-05	0.11650	supercritical
577.65	73.500	183.15	0.0054601	19.438	25.876	76.928	44.133	57.223	895.91	-0.19509	2.8760e-05	0.11670	supercritical
579.15	73.500	182.73	0.0054725	19.509	25.962	77.076	44.216	57.285	895.93	-0.19521	2.8756e-05	0.11690	supercritical
580.65	73.500	182.32	0.0054848	19.581	26.048	77.225	44.299	57.347	895.96	-0.19532	2.8751e-05	0.11710	supercritical
582.15	73.500	181.91	0.0054972	19.652	26.134	77.373	44.381	57.409	895.99	-0.19545	2.8747e-05	0.11730	supercritical
583.65	73.500	181.50	0.0055096	19.724	26.220	77.521	44.464	57.471	896.02	-0.19557	2.8743e-05	0.11750	supercritical
585.15	73.500	181.10	0.0055219	19.796	26.307	77.668	44.546	57.533	896.06	-0.19569	2.8740e-05	0.11770	supercritical
586.65	73.500	180.69	0.0055343	19.867	26.393	77.816	44.628	57.595	896.10	-0.19582	2.8736e-05	0.11791	supercritical
588.15	73.500	180.29	0.0055466	19.939	26.479	77.963	44.711	57.658	896.15	-0.19595	2.8733e-05	0.11811	supercritical
589.65	73.500	179.89	0.0055590	20.011	26.566	78.110	44.793	57.720	896.20	-0.19608	2.8730e-05	0.11832	supercritical
591.15	73.500	179.49	0.0055713	20.083	26.653	78.256	44.876	57.783	896.25	-0.19622	2.8727e-05	0.11852	supercritical
592.65	73.500	179.09	0.0055837	20.155	26.739	78.403	44.958	57.846	896.31	-0.19635	2.8725e-05	0.11873	supercritical
594.15	73.500	178.70	0.0055960	20.228	26.826	78.549	45.040	57.908	896.37	-0.19649	2.8722e-05	0.11894	supercritical
595.65	73.500	178.31	0.0056083	20.300	26.913	78.695	45.123	57.971	896.44	-0.19663	2.8720e-05	0.11915	supercritical
597.15	73.500	177.91	0.0056207	20.372	27.000	78.841	45.205	58.034	896.51	-0.19677	2.8718e-05	0.11936	supercritical
598.65	73.500	177.53	0.0056330	20.445	27.087	78.987	45.287	58.097	896.59	-0.19692	2.8717e-05	0.11957	supercritical
600.15	73.500	177.14	0.0056453	20.518	27.174	79.132	45.369	58.160	896.66	-0.19706	2.8715e-05	0.11978	supercritical
465.15	86.500	240.93	0.0041506	14.093	19.852	63.443	38.239	52.907	988.42	-0.28180	3.2389e-05	0.11252	supercritical
466.65	86.500	240.33	0.0041610	14.158	19.932	63.614	38.317	52.960	987.67	-0.28126	3.2346e-05	0.11258	supercritical
468.15	86.500	239.73	0.0041714	14.223	20.011	63.784	38.396	53.014	986.94	-0.28073	3.2303e-05	0.11265	supercritical
469.65	86.500	239.13	0.0041817	14.288	20.091	63.953	38.474	53.068	986.22	-0.28020	3.2262e-05	0.11271	supercritical
471.15	86.500	238.54	0.0041921	14.353	20.171	64.123	38.553	53.122	985.51	-0.27969	3.2220e-05	0.11278	supercritical
472.65	86.500	237.95	0.0042025	14.418	20.250	64.292	38.632	53.176	984.81	-0.27918	3.2180e-05	0.11285	supercritical
474.15	86.500	237.36	0.0042129	14.484	20.330	64.460	38.712	53.230	984.13	-0.27868	3.2140e-05	0.11293	supercritical
475.65	86.500	236.78	0.0042234	14.549	20.410	64.628	38.791	53.284	983.45	-0.27819	3.2101e-05	0.11300	supercritical
477.15	86.500	236.20	0.0042338	14.615	20.490	64.796	38.870	53.339	982.79	-0.27771	3.2062e-05	0.11308	supercritical
478.65	86.500	235.62	0.0042442	14.680	20.570	64.964	38.950	53.394	982.14	-0.27723	3.2024e-05	0.11316	supercritical
480.15	86.500	235.04	0.0042546	14.746	20.650	65.131	39.029	53.449	981.50	-0.27677	3.1987e-05	0.11324	supercritical
481.65	86.500	234.47	0.0042650	14.812	20.730	65.298	39.109	53.504	980.87	-0.27631	3.1950e-05	0.11332	supercritical
483.15	86.500	233.90	0.0042754	14.878	20.811	65.464	39.189	53.560	980.25	-0.27585	3.1914e-05	0.11341	supercritical
484.65	86.500	233.33	0.0042858	14.944	20.891	65.630	39.269	53.615	979.64	-0.27541	3.1878e-05	0.11349	supercritical
486.15	86.500	232.76	0.0042962	15.010	20.971	65.796	39.349	53.671	979.04	-0.27497	3.1843e-05	0.11358	supercritical
487.65	86.500	232.20	0.0043066	15.076	21.052	65.961	39.429	53.727	978.45	-0.27454	3.1809e-05	0.11368	supercritical
489.15	86.500	231.64	0.0043171	15.142	21.133	66.127	39.509	53.783	977.87	-0.27412	3.1775e-05	0.11377	supercritical
490.65	86.500	231.08	0.0043275	15.208	21.213	66.291	39.589	53.839	977.31	-0.27370	3.1741e-05	0.11387	supercritical
492.15	86.500	230.53	0.0043379	15.274	21.294	66.456	39.670	53.896	976.75	-0.27329	3.1708e-05	0.11396	supercritical
493.65	86.500	229.97	0.0043483	15.341	21.375	66.620	39.750	53.952	976.20	-0.27289	3.1676e-05	0.11406	supercritical
