Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
532.65	100.00	234.37	0.0042667	16.883	23.728	69.388	42.070	55.476	1032.6	-0.31845	3.2919e-05	0.12324	supercritical
534.15	100.00	233.88	0.0042757	16.952	23.811	69.544	42.152	55.539	1032.2	-0.31806	3.2893e-05	0.12337	supercritical
535.65	100.00	233.40	0.0042846	17.021	23.895	69.700	42.233	55.602	1031.7	-0.31767	3.2868e-05	0.12350	supercritical
537.15	100.00	232.91	0.0042935	17.090	23.978	69.855	42.314	55.665	1031.3	-0.31729	3.2843e-05	0.12363	supercritical
538.65	100.00	232.43	0.0043024	17.159	24.062	70.011	42.396	55.728	1030.8	-0.31691	3.2819e-05	0.12377	supercritical
540.15	100.00	231.95	0.0043113	17.229	24.145	70.166	42.477	55.791	1030.4	-0.31653	3.2794e-05	0.12390	supercritical
541.65	100.00	231.47	0.0043202	17.298	24.229	70.320	42.558	55.854	1030.0	-0.31616	3.2771e-05	0.12404	supercritical
543.15	100.00	230.99	0.0043292	17.368	24.313	70.475	42.640	55.917	1029.5	-0.31579	3.2747e-05	0.12417	supercritical
544.65	100.00	230.52	0.0043381	17.437	24.397	70.629	42.721	55.980	1029.1	-0.31543	3.2724e-05	0.12431	supercritical
546.15	100.00	230.04	0.0043470	17.507	24.481	70.783	42.802	56.044	1028.7	-0.31507	3.2702e-05	0.12445	supercritical
547.65	100.00	229.57	0.0043559	17.577	24.565	70.937	42.884	56.107	1028.3	-0.31471	3.2680e-05	0.12460	supercritical
549.15	100.00	229.10	0.0043648	17.647	24.649	71.091	42.965	56.171	1027.9	-0.31436	3.2658e-05	0.12474	supercritical
550.65	100.00	228.64	0.0043737	17.717	24.733	71.244	43.047	56.234	1027.6	-0.31401	3.2636e-05	0.12488	supercritical
552.15	100.00	228.17	0.0043827	17.787	24.818	71.397	43.128	56.298	1027.2	-0.31367	3.2615e-05	0.12503	supercritical
553.65	100.00	227.71	0.0043916	17.857	24.902	71.550	43.210	56.362	1026.8	-0.31333	3.2594e-05	0.12518	supercritical
555.15	100.00	227.25	0.0044005	17.927	24.987	71.702	43.291	56.425	1026.4	-0.31299	3.2574e-05	0.12533	supercritical
556.65	100.00	226.79	0.0044094	17.998	25.072	71.855	43.373	56.489	1026.1	-0.31265	3.2554e-05	0.12548	supercritical
558.15	100.00	226.33	0.0044183	18.068	25.156	72.007	43.454	56.553	1025.7	-0.31232	3.2534e-05	0.12563	supercritical
559.65	100.00	225.87	0.0044272	18.139	25.241	72.159	43.536	56.617	1025.4	-0.31200	3.2515e-05	0.12578	supercritical
561.15	100.00	225.42	0.0044361	18.209	25.326	72.310	43.617	56.682	1025.1	-0.31167	3.2496e-05	0.12593	supercritical
562.65	100.00	224.97	0.0044451	18.280	25.411	72.462	43.699	56.746	1024.7	-0.31135	3.2477e-05	0.12609	supercritical
564.15	100.00	224.52	0.0044540	18.351	25.496	72.613	43.780	56.810	1024.4	-0.31104	3.2459e-05	0.12625	supercritical
565.65	100.00	224.07	0.0044629	18.422	25.582	72.764	43.862	56.874	1024.1	-0.31072	3.2441e-05	0.12641	supercritical
567.15	100.00	223.62	0.0044718	18.493	25.667	72.915	43.943	56.939	1023.8	-0.31041	3.2423e-05	0.12656	supercritical
568.65	100.00	223.18	0.0044807	18.564	25.753	73.065	44.025	57.003	1023.5	-0.31011	3.2406e-05	0.12673	supercritical
570.15	100.00	222.74	0.0044896	18.635	25.838	73.215	44.106	57.068	1023.2	-0.30980	3.2389e-05	0.12689	supercritical
571.65	100.00	222.29	0.0044985	18.707	25.924	73.365	44.187	57.132	1022.9	-0.30950	3.2372e-05	0.12705	supercritical
573.15	100.00	221.86	0.0045074	18.778	26.009	73.515	44.269	57.197	1022.6	-0.30921	3.2356e-05	0.12722	supercritical
574.65	100.00	221.42	0.0045164	18.850	26.095	73.665	44.350	57.262	1022.3	-0.30891	3.2339e-05	0.12738	supercritical
576.15	100.00	220.98	0.0045253	18.921	26.181	73.814	44.432	57.327	1022.1	-0.30862	3.2324e-05	0.12755	supercritical
577.65	100.00	220.55	0.0045342	18.993	26.267	73.963	44.513	57.391	1021.8	-0.30834	3.2308e-05	0.12772	supercritical
579.15	100.00	220.11	0.0045431	19.065	26.353	74.112	44.595	57.456	1021.5	-0.30805	3.2293e-05	0.12789	supercritical
580.65	100.00	219.68	0.0045520	19.137	26.440	74.261	44.676	57.521	1021.3	-0.30777	3.2278e-05	0.12806	supercritical
582.15	100.00	219.25	0.0045609	19.209	26.526	74.409	44.757	57.586	1021.0	-0.30749	3.2263e-05	0.12823	supercritical
583.65	100.00	218.83	0.0045698	19.281	26.612	74.558	44.839	57.651	1020.8	-0.30722	3.2249e-05	0.12840	supercritical
585.15	100.00	218.40	0.0045787	19.353	26.699	74.706	44.920	57.716	1020.5	-0.30694	3.2235e-05	0.12857	supercritical
586.65	100.00	217.98	0.0045876	19.426	26.786	74.854	45.001	57.782	1020.3	-0.30667	3.2221e-05	0.12875	supercritical
588.15	100.00	217.56	0.0045965	19.498	26.872	75.001	45.083	57.847	1020.1	-0.30641	3.2208e-05	0.12893	supercritical
589.65	100.00	217.13	0.0046054	19.571	26.959	75.149	45.164	57.912	1019.8	-0.30614	3.2195e-05	0.12910	supercritical
591.15	100.00	216.72	0.0046143	19.643	27.046	75.296	45.245	57.977	1019.6	-0.30588	3.2182e-05	0.12928	supercritical
592.65	100.00	216.30	0.0046232	19.716	27.133	75.443	45.326	58.043	1019.4	-0.30562	3.2169e-05	0.12946	supercritical
594.15	100.00	215.88	0.0046321	19.789	27.220	75.590	45.408	58.108	1019.2	-0.30536	3.2157e-05	0.12964	supercritical
595.65	100.00	215.47	0.0046410	19.862	27.307	75.736	45.489	58.174	1019.0	-0.30511	3.2145e-05	0.12983	supercritical
597.15	100.00	215.06	0.0046499	19.935	27.395	75.883	45.570	58.239	1018.8	-0.30486	3.2133e-05	0.13001	supercritical
598.65	100.00	214.65	0.0046588	20.008	27.482	76.029	45.651	58.305	1018.6	-0.30461	3.2121e-05	0.13019	supercritical
600.15	100.00	214.24	0.0046677	20.081	27.570	76.175	45.732	58.370	1018.4	-0.30437	3.2110e-05	0.13038	supercritical
