Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
385.35	412.75	undefined	9.1771	23.987	39.241	447.10	0.0022366	9.1771	23.987	39.241	38.592	49.178	2196.5	-0.54055	74.424	0.27717	447.10	0.0022366	9.1771	23.987	39.241	38.592	49.178	2196.5	-0.54055	74.424	0.27717
387.10	414.74	undefined	9.2447	24.126	39.416	447.10	0.0022366	9.2447	24.126	39.416	38.677	49.246	2198.6	-0.53978	74.296	0.27751	447.10	0.0022366	9.2447	24.126	39.416	38.677	49.246	2198.6	-0.53978	74.296	0.27751
388.85	416.73	undefined	9.3124	24.265	39.591	447.10	0.0022366	9.3124	24.265	39.591	38.762	49.315	2200.8	-0.53901	74.170	0.27785	447.10	0.0022366	9.3124	24.265	39.591	38.762	49.315	2200.8	-0.53901	74.170	0.27785
390.60	418.71	undefined	9.3803	24.404	39.765	447.10	0.0022366	9.3803	24.404	39.765	38.848	49.384	2202.9	-0.53823	74.045	0.27819	447.10	0.0022366	9.3803	24.404	39.765	38.848	49.384	2202.9	-0.53823	74.045	0.27819
392.35	420.69	undefined	9.4483	24.543	39.939	447.10	0.0022366	9.4483	24.543	39.939	38.934	49.454	2205.0	-0.53746	73.922	0.27853	447.10	0.0022366	9.4483	24.543	39.939	38.934	49.454	2205.0	-0.53746	73.922	0.27853
394.10	422.67	undefined	9.5165	24.683	40.112	447.10	0.0022366	9.5165	24.683	40.112	39.020	49.524	2207.1	-0.53667	73.801	0.27887	447.10	0.0022366	9.5165	24.683	40.112	39.020	49.524	2207.1	-0.53667	73.801	0.27887
395.85	424.64	undefined	9.5848	24.822	40.285	447.10	0.0022366	9.5848	24.822	40.285	39.107	49.594	2209.2	-0.53589	73.681	0.27922	447.10	0.0022366	9.5848	24.822	40.285	39.107	49.594	2209.2	-0.53589	73.681	0.27922
397.60	426.61	undefined	9.6533	24.961	40.458	447.10	0.0022366	9.6533	24.961	40.458	39.194	49.666	2211.2	-0.53510	73.563	0.27956	447.10	0.0022366	9.6533	24.961	40.458	39.194	49.666	2211.2	-0.53510	73.563	0.27956
399.35	428.58	undefined	9.7219	25.100	40.630	447.10	0.0022366	9.7219	25.100	40.630	39.281	49.737	2213.3	-0.53431	73.446	0.27990	447.10	0.0022366	9.7219	25.100	40.630	39.281	49.737	2213.3	-0.53431	73.446	0.27990
401.10	430.54	undefined	9.7907	25.239	40.802	447.10	0.0022366	9.7907	25.239	40.802	39.369	49.809	2215.4	-0.53352	73.331	0.28024	447.10	0.0022366	9.7907	25.239	40.802	39.369	49.809	2215.4	-0.53352	73.331	0.28024
402.85	432.50	undefined	9.8597	25.379	40.973	447.10	0.0022366	9.8597	25.379	40.973	39.457	49.882	2217.4	-0.53272	73.217	0.28059	447.10	0.0022366	9.8597	25.379	40.973	39.457	49.882	2217.4	-0.53272	73.217	0.28059
404.59	434.46	undefined	9.9288	25.518	41.145	447.10	0.0022366	9.9288	25.518	41.145	39.545	49.955	2219.5	-0.53192	73.104	0.28093	447.10	0.0022366	9.9288	25.518	41.145	39.545	49.955	2219.5	-0.53192	73.104	0.28093
